,fast_period,slow_period,sig_period,return,dd,sharpe
126,7,36,13,-25.01,13.50,-3.63
127,7,36,14,-18.57,13.49,-1.42
128,7,37,7,-33.80,20.06,-25.07
129,7,37,8,-30.67,16.86,-7.00
130,7,37,9,-29.03,15.87,-4.97
131,7,37,10,-22.26,13.12,-2.55
132,7,37,11,-24.43,13.16,-3.79
133,7,37,12,-24.94,13.46,-3.59
134,7,37,13,-18.57,13.49,-1.42
135,7,37,14,-15.89,13.50,-1.02
136,7,38,7,-33.80,20.06,-25.07
137,7,38,8,-30.67,16.86,-7.00
138,7,38,9,-29.03,15.87,-4.97
139,7,38,10,-22.26,13.12,-2.55
140,7,38,11,-22.26,13.12,-2.55
141,7,38,12,-19.92,12.24,-1.70
142,7,38,13,-18.64,13.49,-1.43
143,7,38,14,-17.17,13.45,-1.20
144,7,39,7,-24.52,14.60,-8.38
145,7,39,8,-30.67,16.86,-7.00
146,7,39,9,-29.03,15.87,-4.97
147,7,39,10,-24.38,13.14,-3.76
148,7,39,11,-22.19,12.02,-2.53
149,7,39,12,-18.91,13.20,-1.60
150,7,39,13,-17.00,13.44,-1.18
151,7,39,14,-17.17,13.45,-1.20
152,7,40,7,-26.46,14.35,-183.06
153,7,40,8,-30.67,16.86,-7.00
154,7,40,9,-26.99,14.66,-7.08
155,7,40,10,-22.76,12.20,-2.84
156,7,40,11,-22.76,12.20,-2.84
157,7,40,12,-16.61,13.23,-1.18
158,7,40,13,-17.17,13.45,-1.20
159,7,40,14,-17.17,13.45,-1.20
160,8,21,7,-39.99,24.76,-7.16
161,8,21,8,-41.08,25.45,-6.30
162,8,21,9,-41.08,25.45,-6.30
163,8,21,10,-35.04,21.69,-5.17
164,8,21,11,-30.47,16.73,-14.82
165,8,21,12,-30.47,16.73,-14.82
166,8,21,13,-26.40,14.32,-12.94
167,8,21,14,-26.31,14.26,-12.36
168,8,22,7,-40.01,24.63,-7.14
169,8,22,8,-40.01,24.63,-7.14
170,8,22,9,-35.31,21.71,-92.69
171,8,22,10,-32.83,18.17,-7.21
172,8,22,11,-30.47,16.73,-14.82
173,8,22,12,-30.04,16.48,-12.01
174,8,22,13,-28.47,15.54,-672.47
175,8,22,14,-25.69,14.22,-16.06
176,8,23,7,-39.00,23.78,-9.10
177,8,23,8,-39.00,23.78,-9.10
178,8,23,9,-30.05,16.48,-11.43
179,8,23,10,-32.83,18.17,-7.21
180,8,23,11,-30.47,16.73,-14.82
181,8,23,12,-30.04,16.48,-12.01
182,8,23,13,-28.47,15.54,-672.47
183,8,23,14,-25.69,14.22,-16.06
