,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
98,5,14,3,25,15,40,-14.06,26.20,-0.50
99,5,14,3,25,15,45,-47.11,27.59,-14.46
100,5,14,3,10,20,25,-41.94,29.69,-1.00
101,5,14,3,10,20,30,-40.48,30.38,-0.93
102,5,14,3,10,20,35,-39.61,30.54,-0.87
103,5,14,3,10,20,40,-25.74,30.61,-0.79
104,5,14,3,10,20,45,-48.27,32.59,-0.88
105,5,14,3,15,20,25,-51.36,32.54,-1.40
106,5,14,3,15,20,30,-51.16,33.05,-1.41
107,5,14,3,15,20,35,-51.16,33.05,-1.41
108,5,14,3,15,20,40,-39.35,33.05,-1.63
109,5,14,3,15,20,45,-58.08,37.02,-1.33
110,5,14,3,20,20,25,-14.11,21.01,-2.20
111,5,14,3,20,20,30,-14.67,22.03,-1.93
112,5,14,3,20,20,35,-20.01,24.53,-1.58
113,5,14,3,20,20,40,-20.21,26.45,-0.99
114,5,14,3,20,20,45,-47.58,27.93,-10.53
115,5,14,3,25,20,25,-2.68,18.65,-0.25
116,5,14,3,25,20,30,-1.91,21.44,-0.18
117,5,14,3,25,20,35,-7.63,24.48,-0.31
118,5,14,3,25,20,40,-14.61,26.43,-0.51
119,5,14,3,25,20,45,-47.54,27.88,-17.42
120,5,14,4,10,10,25,-32.39,28.54,-0.60
121,5,14,4,10,10,30,-26.76,28.77,-0.39
122,5,14,4,10,10,35,-22.60,28.94,-0.28
123,5,14,4,10,10,40,-0.62,29.10,0.01
124,5,14,4,10,10,45,-27.81,30.55,-0.24
125,5,14,4,15,10,25,-52.73,34.94,-1.44
126,5,14,4,15,10,30,-52.73,34.94,-1.44
127,5,14,4,15,10,35,-52.73,34.94,-1.44
128,5,14,4,15,10,40,-43.33,34.93,-1.62
129,5,14,4,15,10,45,-60.08,38.19,-1.36
130,5,14,4,20,10,25,-2.32,19.68,-1.26
131,5,14,4,20,10,30,-2.32,19.68,-1.26
132,5,14,4,20,10,35,-2.32,19.68,-1.26
133,5,14,4,20,10,40,-1.54,19.69,-0.94
134,5,14,4,20,10,45,-31.46,23.52,-1.41
135,5,14,4,25,10,25,9.85,14.70,0.50
136,5,14,4,25,10,30,11.96,17.20,0.57
137,5,14,4,25,10,35,12.86,18.21,0.60
138,5,14,4,25,10,40,9.81,18.19,0.50
139,5,14,4,25,10,45,-28.51,23.52,-1.20
140,5,14,4,10,15,25,-30.16,28.64,-0.51
141,5,14,4,10,15,30,-24.44,28.87,-0.33
142,5,14,4,10,15,35,-20.22,29.03,-0.22
143,5,14,4,10,15,40,2.26,29.19,0.06
144,5,14,4,10,15,45,-27.32,30.57,-0.23
145,5,14,4,15,15,25,-52.73,34.94,-1.44
146,5,14,4,15,15,30,-52.73,34.94,-1.44
147,5,14,4,15,15,35,-52.73,34.94,-1.44
148,5,14,4,15,15,40,-43.33,34.93,-1.62
149,5,14,4,15,15,45,-60.08,38.19,-1.36
150,5,14,4,20,15,25,-2.32,19.68,-1.26
151,5,14,4,20,15,30,-2.32,19.68,-1.26
152,5,14,4,20,15,35,-2.32,19.68,-1.26
153,5,14,4,20,15,40,-1.54,19.69,-0.94
154,5,14,4,20,15,45,-31.46,23.52,-1.41
155,5,14,4,25,15,25,10.23,15.19,0.51
156,5,14,4,25,15,30,12.35,17.64,0.58
157,5,14,4,25,15,35,12.86,18.21,0.60
158,5,14,4,25,15,40,9.81,18.19,0.50
159,5,14,4,25,15,45,-28.51,23.52,-1.20
160,5,14,4,10,20,25,-33.80,28.02,-0.64
161,5,14,4,10,20,30,-27.90,28.73,-0.43
162,5,14,4,10,20,35,-23.78,28.89,-0.31
163,5,14,4,10,20,40,-2.14,29.05,-0.02
164,5,14,4,10,20,45,-28.79,30.51,-0.27
165,5,14,4,15,20,25,-52.91,34.39,-1.44
166,5,14,4,15,20,30,-52.73,34.94,-1.44
167,5,14,4,15,20,35,-52.73,34.94,-1.44
168,5,14,4,15,20,40,-43.33,34.93,-1.62
169,5,14,4,15,20,45,-60.08,38.19,-1.36
170,5,14,4,20,20,25,-2.78,19.11,-1.49
171,5,14,4,20,20,30,-2.32,19.68,-1.26
172,5,14,4,20,20,35,-2.32,19.68,-1.26
173,5,14,4,20,20,40,-1.54,19.69,-0.94
174,5,14,4,20,20,45,-31.46,23.52,-1.41
