,pfast,pmid,pslow,return,dd,sharpe
126,3,16,27,-24.43,32.11,-0.68
127,3,16,28,-26.79,34.04,-0.71
128,3,16,29,-20.14,24.53,-0.66
129,3,16,30,-19.94,24.33,-0.65
130,3,16,31,-20.70,25.23,-0.65
131,3,16,32,-5.07,16.27,-0.38
132,3,16,33,-4.68,16.05,-0.37
133,3,16,34,-4.48,15.41,-0.38
134,3,16,35,-35.07,26.76,-3.46
135,3,16,36,-46.26,40.69,-1.03
136,3,16,37,-45.36,39.90,-1.02
137,3,16,38,-44.00,38.78,-1.02
138,3,16,39,-43.47,38.51,-1.00
139,3,16,40,-43.09,38.45,-0.98
140,3,17,21,-46.51,41.76,-1.17
141,3,17,22,-44.81,39.95,-1.19
142,3,17,23,-50.30,44.93,-0.77
143,3,17,24,-16.98,24.85,-0.87
144,3,17,25,-45.48,41.46,-0.73
145,3,17,26,-45.99,41.26,-0.77
146,3,17,27,-50.39,44.32,-0.81
147,3,17,28,-53.16,46.60,-0.83
148,3,17,29,31.61,24.53,0.55
149,3,17,30,16.58,14.48,0.55
150,3,17,31,15.93,15.32,0.50
151,3,17,32,16.78,15.52,0.53
152,3,17,33,-5.47,16.33,-0.39
153,3,17,34,-5.10,15.71,-0.39
154,3,17,35,-5.58,15.71,-0.42
155,3,17,36,-46.26,40.69,-1.03
156,3,17,37,-45.36,39.90,-1.02
157,3,17,38,-44.00,38.78,-1.02
158,3,17,39,-43.47,38.51,-1.00
159,3,17,40,-43.09,38.45,-0.98
160,3,18,21,-21.09,23.66,-3.50
161,3,18,22,-54.76,46.19,-1.15
162,3,18,23,-45.66,44.01,-0.75
163,3,18,24,-8.04,25.05,-0.42
164,3,18,25,-22.27,31.64,-0.57
165,3,18,26,-41.16,40.44,-0.75
166,3,18,27,-45.84,43.41,-0.80
167,3,18,28,29.87,24.80,0.52
168,3,18,29,14.73,14.81,0.48
169,3,18,30,16.58,14.48,0.55
170,3,18,31,15.93,15.32,0.50
171,3,18,32,-5.77,16.60,-0.40
172,3,18,33,-5.47,16.33,-0.39
173,3,18,34,-5.10,15.71,-0.39
174,3,18,35,-5.58,15.71,-0.42
175,3,18,36,-46.26,40.69,-1.03
176,3,18,37,-45.36,39.90,-1.02
177,3,18,38,-44.00,38.78,-1.02
178,3,18,39,-39.10,32.22,-1.53
179,3,18,40,-38.95,32.47,-1.50
180,3,19,21,-24.37,24.06,-2.70
181,3,19,22,-26.40,25.00,-3.80
182,3,19,23,-43.36,43.41,-0.74
183,3,19,24,-40.08,38.90,-0.70
184,3,19,25,-19.03,31.72,-0.54
185,3,19,26,-17.38,29.85,-0.56
186,3,19,27,-38.81,36.40,-0.77
187,3,19,28,-41.91,38.61,-0.80
188,3,19,29,16.77,13.58,0.60
189,3,19,30,-47.28,43.03,-0.82
190,3,19,31,-48.43,44.13,-0.82
191,3,19,32,-49.37,45.05,-0.81
