,fast_period,slow_period,sig_period,return,dd,sharpe
131,7,37,10,84.89,10.06,1.43
132,7,37,11,81.32,10.06,1.43
133,7,37,12,78.73,10.06,1.45
134,7,37,13,78.73,10.06,1.45
135,7,37,14,78.73,10.06,1.45
136,7,38,7,158.56,8.94,1.21
137,7,38,8,84.89,10.06,1.43
138,7,38,9,84.89,10.06,1.43
139,7,38,10,81.32,10.06,1.43
140,7,38,11,81.32,10.06,1.43
141,7,38,12,78.73,10.06,1.45
142,7,38,13,78.73,10.06,1.45
143,7,38,14,81.19,10.06,1.45
144,7,39,7,84.89,10.06,1.43
145,7,39,8,84.89,10.06,1.43
146,7,39,9,84.89,10.06,1.43
147,7,39,10,81.32,10.06,1.43
148,7,39,11,81.32,10.06,1.43
149,7,39,12,78.73,10.06,1.45
150,7,39,13,78.73,10.06,1.45
151,7,39,14,81.19,10.06,1.45
152,7,40,7,84.89,10.06,1.43
153,7,40,8,84.89,10.06,1.43
154,7,40,9,84.89,10.06,1.43
155,7,40,10,81.32,10.06,1.43
156,7,40,11,78.73,10.06,1.45
157,7,40,12,78.73,10.06,1.45
158,7,40,13,78.73,10.06,1.45
159,7,40,14,81.19,10.06,1.45
160,8,21,7,120.43,8.94,0.91
161,8,21,8,155.36,8.94,1.21
162,8,21,9,82.02,10.06,1.41
163,8,21,10,74.49,10.06,1.49
164,8,21,11,73.63,10.06,1.50
165,8,21,12,73.63,10.06,1.50
166,8,21,13,73.63,10.06,1.50
167,8,21,14,-17.43,21.03,-0.51
168,8,22,7,146.47,8.94,1.17
169,8,22,8,82.02,10.06,1.41
170,8,22,9,74.49,10.06,1.49
171,8,22,10,74.49,10.06,1.49
172,8,22,11,74.49,10.06,1.49
173,8,22,12,-16.96,21.03,-0.52
174,8,22,13,-16.96,21.03,-0.52
175,8,22,14,-17.43,21.03,-0.51
176,8,23,7,154.26,8.94,1.20
177,8,23,8,80.10,10.06,1.44
178,8,23,9,74.49,10.06,1.49
179,8,23,10,74.49,10.06,1.49
180,8,23,11,-16.96,21.03,-0.52
181,8,23,12,-16.96,21.03,-0.52
182,8,23,13,-17.43,21.03,-0.51
183,8,23,14,-17.43,21.03,-0.51
184,8,24,7,154.26,8.94,1.20
185,8,24,8,80.10,10.06,1.44
186,8,24,9,74.49,10.06,1.49
187,8,24,10,-16.96,21.03,-0.52
188,8,24,11,-16.96,21.03,-0.52
189,8,24,12,-17.43,21.03,-0.51
190,8,24,13,-19.19,20.42,-0.53
191,8,24,14,-20.35,21.17,-0.55
192,8,25,7,151.89,8.94,1.21
193,8,25,8,74.49,10.06,1.49
194,8,25,9,-16.96,21.03,-0.52
195,8,25,10,-16.96,21.03,-0.52
196,8,25,11,-16.96,21.03,-0.52
197,8,25,12,-17.43,21.03,-0.51
198,8,25,13,-19.19,20.42,-0.53
199,8,25,14,-20.35,21.17,-0.55
200,8,26,7,151.89,8.94,1.21
201,8,26,8,-16.96,21.03,-0.52
202,8,26,9,-16.96,21.03,-0.52
203,8,26,10,-16.96,21.03,-0.52
204,8,26,11,-17.43,21.03,-0.51
205,8,26,12,-19.19,20.42,-0.53
206,8,26,13,-19.19,20.42,-0.53
207,8,26,14,-21.89,21.17,-0.57
208,8,27,7,33.51,3.35,3.62
209,8,27,8,-16.96,21.03,-0.52
210,8,27,9,-16.96,21.03,-0.52
211,8,27,10,-17.43,21.03,-0.51
212,8,27,11,-19.19,20.42,-0.53
213,8,27,12,-19.19,20.42,-0.53
214,8,27,13,-20.35,21.17,-0.55
215,8,27,14,-21.89,21.17,-0.57
216,8,28,7,33.51,3.35,3.62
217,8,28,8,-16.96,21.03,-0.52
218,8,28,9,-16.96,21.03,-0.52
219,8,28,10,-19.19,20.42,-0.53
220,8,28,11,-19.19,20.42,-0.53
221,8,28,12,-19.19,20.42,-0.53
222,8,28,13,-21.89,21.17,-0.57
223,8,28,14,-21.89,21.17,-0.57
224,8,29,7,29.37,3.36,6.00
225,8,29,8,-16.96,21.03,-0.52
226,8,29,9,-17.43,21.03,-0.51
227,8,29,10,-19.19,20.42,-0.53
228,8,29,11,-19.19,20.42,-0.53
229,8,29,12,-19.19,20.42,-0.53
230,8,29,13,-21.89,21.17,-0.57
231,8,29,14,-21.89,21.17,-0.57
232,8,30,7,29.37,3.36,6.00
233,8,30,8,-16.96,21.03,-0.52
234,8,30,9,-17.43,21.03,-0.51
235,8,30,10,-19.19,20.42,-0.53
236,8,30,11,-19.19,20.42,-0.53
237,8,30,12,-21.89,21.17,-0.57
238,8,30,13,-21.89,21.17,-0.57
239,8,30,14,-21.89,21.17,-0.57
240,8,31,7,29.37,3.36,6.00
241,8,31,8,-16.96,21.03,-0.52
242,8,31,9,-17.43,21.03,-0.51
243,8,31,10,-19.19,20.42,-0.53
244,8,31,11,-19.19,20.42,-0.53
245,8,31,12,-21.89,21.17,-0.57
246,8,31,13,-21.89,21.17,-0.57
247,8,31,14,-21.89,21.17,-0.57
248,8,32,7,29.37,3.36,6.00
249,8,32,8,-17.43,21.03,-0.51
250,8,32,9,-17.43,21.03,-0.51
251,8,32,10,-19.19,20.42,-0.53
252,8,32,11,-20.75,20.42,-0.56
253,8,32,12,-21.89,21.17,-0.57
254,8,32,13,-21.89,21.17,-0.57
255,8,32,14,-21.89,21.17,-0.57
256,8,33,7,-16.96,21.03,-0.52
257,8,33,8,-17.43,21.03,-0.51
258,8,33,9,-17.43,21.03,-0.51
259,8,33,10,-17.43,21.03,-0.51
260,8,33,11,-21.89,21.17,-0.57
261,8,33,12,-21.89,21.17,-0.57
262,8,33,13,-21.89,21.17,-0.57
263,8,33,14,78.73,10.06,1.45
264,8,34,7,-17.43,21.03,-0.51
265,8,34,8,-17.43,21.03,-0.51
266,8,34,9,-17.43,21.03,-0.51
267,8,34,10,-17.43,21.03,-0.51
268,8,34,11,-20.19,21.78,-0.56
269,8,34,12,78.73,10.06,1.45
270,8,34,13,78.73,10.06,1.45
271,8,34,14,81.19,10.06,1.45
272,8,35,7,-17.43,21.03,-0.51
273,8,35,8,-17.43,21.03,-0.51
274,8,35,9,-17.43,21.03,-0.51
275,8,35,10,-19.02,21.03,-0.54
276,8,35,11,78.73,10.06,1.45
277,8,35,12,78.73,10.06,1.45
278,8,35,13,78.73,10.06,1.45
279,8,35,14,81.19,10.06,1.45
280,8,36,7,-17.43,21.03,-0.51
281,8,36,8,-17.43,21.03,-0.51
282,8,36,9,-17.43,21.03,-0.51
283,8,36,10,81.32,10.06,1.43
284,8,36,11,78.73,10.06,1.45
285,8,36,12,78.73,10.06,1.45
286,8,36,13,78.73,10.06,1.45
287,8,36,14,81.19,10.06,1.45
288,8,37,7,-17.43,21.03,-0.51
289,8,37,8,-17.43,21.03,-0.51
290,8,37,9,84.89,10.06,1.43
291,8,37,10,81.32,10.06,1.43
292,8,37,11,78.73,10.06,1.45
293,8,37,12,78.73,10.06,1.45
294,8,37,13,81.19,10.06,1.45
295,8,37,14,81.19,10.06,1.45
296,8,38,7,-17.43,21.03,-0.51
297,8,38,8,84.89,10.06,1.43
298,8,38,9,81.32,10.06,1.43
299,8,38,10,78.73,10.06,1.45
300,8,38,11,78.73,10.06,1.45
301,8,38,12,78.73,10.06,1.45
302,8,38,13,81.19,10.06,1.45
303,8,38,14,81.19,10.06,1.45
304,8,39,7,84.89,10.06,1.43
305,8,39,8,84.89,10.06,1.43
306,8,39,9,81.32,10.06,1.43
307,8,39,10,78.73,10.06,1.45
308,8,39,11,78.73,10.06,1.45
309,8,39,12,78.73,10.06,1.45
310,8,39,13,81.19,10.06,1.45
311,8,39,14,81.19,10.06,1.45
312,8,40,7,84.89,10.06,1.43
313,8,40,8,84.89,10.06,1.43
314,8,40,9,81.32,10.06,1.43
315,8,40,10,78.73,10.06,1.45
316,8,40,11,78.73,10.06,1.45
317,8,40,12,81.19,10.06,1.45
318,8,40,13,81.19,10.06,1.45
319,8,40,14,81.19,10.06,1.45
320,9,21,7,155.36,8.94,1.21
321,9,21,8,82.02,10.06,1.41
322,9,21,9,73.63,10.06,1.50
323,9,21,10,73.63,10.06,1.50
324,9,21,11,73.63,10.06,1.50
325,9,21,12,73.63,10.06,1.50
326,9,21,13,72.63,10.06,1.54
327,9,21,14,-18.61,21.78,-0.53
328,9,22,7,154.58,8.94,1.20
329,9,22,8,74.49,10.06,1.49
330,9,22,9,74.49,10.06,1.49
331,9,22,10,73.63,10.06,1.50
332,9,22,11,73.63,10.06,1.50
333,9,22,12,72.63,10.06,1.54
334,9,22,13,-17.43,21.03,-0.51
335,9,22,14,-18.61,21.78,-0.53
336,9,23,7,80.10,10.06,1.44
337,9,23,8,74.49,10.06,1.49
