,vol_window,vol_roc_period,price_lookback,sma_window,return,dd,sharpe
120,15,8,5,14,316.01,14.88,1.07
121,15,8,5,21,-5.05,13.55,-0.39
122,15,8,5,28,-35.00,23.36,-0.75
123,15,8,5,35,-48.25,31.62,-1.39
124,15,8,6,14,322.60,14.77,1.06
125,15,8,6,21,-3.53,13.44,-0.39
126,15,8,6,28,-47.49,31.11,-1.88
127,15,8,6,35,-40.48,31.93,-0.52
128,15,8,7,14,7.26,8.55,0.13
129,15,8,7,21,10.11,2.31,0.59
130,15,8,7,28,-10.14,9.67,-1.38
131,15,8,7,35,-20.80,16.75,-14.75
132,15,8,8,14,231.79,9.87,1.20
133,15,8,8,21,7.60,2.21,0.46
134,15,8,8,28,-12.20,9.69,-1.32
135,15,8,8,35,-22.61,16.77,-77.37
136,15,8,9,14,293.88,9.82,0.98
137,15,8,9,21,0.00,0.00,
138,15,8,9,28,0.00,0.00,
139,15,8,9,35,-22.50,14.86,-5.88
140,15,8,10,14,348.02,10.07,0.98
141,15,8,10,21,44.41,44.26,0.90
142,15,8,10,28,0.00,0.00,
143,15,8,10,35,0.00,0.00,
144,15,9,5,14,367.76,14.77,1.19
145,15,9,5,21,6.77,13.44,0.12
146,15,9,5,28,-26.90,24.20,-0.70
147,15,9,5,35,-48.25,31.62,-1.39
148,15,9,6,14,322.60,14.77,1.06
149,15,9,6,21,28.76,3.26,2.03
150,15,9,6,28,21.21,4.09,3.53
151,15,9,6,35,7.44,8.55,0.14
152,15,9,7,14,7.26,8.55,0.13
153,15,9,7,21,10.11,2.31,0.59
154,15,9,7,28,10.11,2.31,0.59
155,15,9,7,35,9.77,8.55,0.19
156,15,9,8,14,231.79,9.87,1.20
157,15,9,8,21,7.60,2.21,0.46
158,15,9,8,28,7.60,2.21,0.46
159,15,9,8,35,-16.61,14.88,-10.69
160,15,9,9,14,378.91,10.07,1.04
161,15,9,9,21,6.89,2.20,0.41
162,15,9,9,28,6.89,2.20,0.41
163,15,9,9,35,-17.16,14.86,-15.92
164,15,9,10,14,44.41,44.26,0.90
165,15,9,10,21,44.41,44.26,0.90
166,15,9,10,28,0.00,0.00,
167,15,9,10,35,0.00,0.00,
168,15,10,5,14,355.92,14.88,1.19
169,15,10,5,21,38.90,5.36,11.49
170,15,10,5,28,22.41,4.09,4.90
171,15,10,5,35,8.85,2.27,0.54
172,15,10,6,14,322.60,14.77,1.06
173,15,10,6,21,28.76,3.26,2.03
174,15,10,6,28,21.21,4.09,3.53
175,15,10,6,35,7.44,8.55,0.14
176,15,10,7,14,18.39,4.21,5.54
177,15,10,7,21,21.16,4.21,622.73
178,15,10,7,28,21.16,4.21,622.73
179,15,10,7,35,9.77,8.55,0.19
180,15,10,8,14,1.30,8.42,-0.07
181,15,10,8,21,7.60,2.21,0.46
182,15,10,8,28,7.60,2.21,0.46
183,15,10,8,35,7.60,2.21,0.46
184,15,10,9,14,28.55,7.07,1.76
