,pfast,pmid,pslow,return,dd,sharpe
955,7,13,13,-83.59,120.74,-0.89
956,7,13,13,-83.59,120.74,-0.89
957,7,13,13,-83.12,120.74,-0.85
958,7,13,13,-0.92,28.26,-0.69
959,7,13,13,-8.81,28.26,-0.70
960,7,14,14,-34.33,31.85,-0.84
961,7,14,14,-38.38,31.85,-1.12
962,7,14,14,-38.38,31.85,-1.12
963,7,14,14,-38.96,32.17,-1.12
964,7,14,14,-38.96,32.17,-1.12
965,7,14,14,-42.05,35.94,-0.80
966,7,14,14,-42.05,35.94,-0.80
967,7,14,14,-44.22,35.94,-0.93
968,7,14,14,-44.22,35.94,-0.93
969,7,14,14,-44.22,35.94,-0.93
970,7,14,14,-44.22,35.94,-0.93
971,7,14,14,-44.22,35.94,-0.93
972,7,14,14,-43.63,35.94,-0.89
973,7,14,14,-43.63,35.94,-0.89
974,7,14,14,-82.38,120.74,-1.17
975,7,14,14,-80.87,120.74,-1.01
976,7,14,14,-80.87,120.74,-1.01
977,7,14,14,-81.74,120.74,-1.07
978,7,14,14,3.88,28.26,-0.00
979,7,14,14,1.92,28.26,-0.20
980,7,15,15,-38.38,31.85,-1.12
981,7,15,15,-38.38,31.85,-1.12
982,7,15,15,-42.55,33.94,-1.11
983,7,15,15,-38.38,31.85,-1.12
984,7,15,15,-32.96,31.85,-0.76
985,7,15,15,-32.96,31.85,-0.76
986,7,15,15,-43.69,35.89,-0.93
987,7,15,15,-43.69,35.89,-0.93
988,7,15,15,-43.69,35.89,-0.93
989,7,15,15,-43.69,35.89,-0.93
990,7,15,15,-43.09,35.89,-0.89
991,7,15,15,-43.09,35.89,-0.89
992,7,15,15,-43.09,35.89,-0.89
993,7,15,15,-43.73,36.64,-0.79
994,7,15,15,-90.00,120.58,-1.00
995,7,15,15,-90.00,120.58,-1.00
996,7,15,15,-90.55,120.58,-1.06
997,7,15,15,3.56,28.26,-0.03
998,7,15,15,3.56,28.26,-0.03
999,7,15,15,3.56,28.26,-0.03
1000,7,16,16,-47.43,35.86,-1.76
1001,7,16,16,-42.55,33.94,-1.11
1002,7,16,16,-42.55,33.94,-1.11
1003,7,16,16,-40.24,35.01,-0.80
1004,7,16,16,-37.49,33.94,-0.78
1005,7,16,16,-37.49,33.94,-0.78
1006,7,16,16,20.70,25.46,1.37
1007,7,16,16,20.70,25.46,1.37
1008,7,16,16,20.70,25.46,1.37
1009,7,16,16,21.98,25.46,1.63
1010,7,16,16,21.98,25.46,1.63
1011,7,16,16,21.98,25.46,1.63
1012,7,16,16,26.17,25.46,3.01
1013,7,16,16,26.17,25.46,3.01
1014,7,16,16,3.56,28.26,-0.03
1015,7,16,16,3.56,28.26,-0.03
1016,7,16,16,3.56,28.26,-0.03
1017,7,16,16,3.56,28.26,-0.03
1018,7,16,16,5.81,28.26,0.14
1019,7,16,16,5.81,28.26,0.14
1020,7,17,17,-48.82,34.71,-2.21
1021,7,17,17,-48.82,34.71,-2.21
1022,7,17,17,-43.04,36.68,-0.81
1023,7,17,17,-45.55,37.29,-0.82
1024,7,17,17,-45.55,37.29,-0.82
1025,7,17,17,-47.58,37.29,-0.93
1026,7,17,17,20.70,25.46,1.37
1027,7,17,17,20.70,25.46,1.37
1028,7,17,17,21.98,25.46,1.63
1029,7,17,17,21.98,25.46,1.63
1030,7,17,17,26.17,25.46,3.01
1031,7,17,17,26.17,25.46,3.01
1032,7,17,17,26.17,25.46,3.01
1033,7,17,17,24.92,25.46,2.47
1034,7,17,17,3.56,28.26,-0.03
1035,7,17,17,3.56,28.26,-0.03
1036,7,17,17,5.81,28.26,0.14
1037,7,17,17,5.81,28.26,0.14
1038,7,17,17,5.81,28.26,0.14
1039,7,17,17,-3.92,28.26,-2.01
1040,7,18,18,-58.07,40.47,-4.74
1041,7,18,18,-58.07,40.47,-4.74
1042,7,18,18,-61.79,42.57,-3.67
1043,7,18,18,-45.22,37.33,-0.82
1044,7,18,18,-47.27,37.33,-0.93
1045,7,18,18,-47.58,37.29,-0.93
1046,7,18,18,-39.83,33.94,-0.92
1047,7,18,18,21.98,25.46,1.63
1048,7,18,18,21.98,25.46,1.63
1049,7,18,18,21.98,25.46,1.63
1050,7,18,18,26.17,25.46,3.01
1051,7,18,18,26.17,25.46,3.01
1052,7,18,18,24.92,25.46,2.47
1053,7,18,18,24.92,25.46,2.47
1054,7,18,18,5.81,28.26,0.14
1055,7,18,18,5.81,28.26,0.14
1056,7,18,18,5.81,28.26,0.14
1057,7,18,18,-3.92,28.26,-2.01
1058,7,18,18,-3.92,28.26,-2.01
1059,7,18,18,-3.92,28.26,-2.01
1060,7,19,19,-53.06,39.66,-2.36
1061,7,19,19,-57.23,41.78,-2.11
