,period,overbought,oversold,return,dd,sharpe
136,18,60,35,150.83,46.39,0.97
137,18,60,40,-28.67,43.76,-1.13
138,18,65,30,111.63,46.10,0.96
139,18,65,35,150.83,46.39,0.97
140,18,65,40,-28.67,43.76,-1.13
141,18,70,30,111.63,46.10,0.96
142,18,70,35,150.83,46.39,0.97
143,18,70,40,-28.67,43.76,-1.13
144,19,55,30,-43.39,42.67,-1.08
145,19,55,35,150.83,46.39,0.97
146,19,55,40,-28.67,43.76,-1.13
147,19,60,30,-43.39,42.67,-1.08
148,19,60,35,150.83,46.39,0.97
149,19,60,40,-28.67,43.76,-1.13
150,19,65,30,-43.39,42.67,-1.08
151,19,65,35,150.83,46.39,0.97
152,19,65,40,-28.67,43.76,-1.13
153,19,70,30,-43.39,42.67,-1.08
154,19,70,35,150.83,46.39,0.97
155,19,70,40,-28.67,43.76,-1.13
156,20,55,30,-43.39,42.67,-1.08
157,20,55,35,148.92,46.33,0.97
158,20,55,40,-28.67,43.76,-1.13
159,20,60,30,-43.39,42.67,-1.08
160,20,60,35,148.92,46.33,0.97
161,20,60,40,-28.67,43.76,-1.13
162,20,65,30,-43.39,42.67,-1.08
163,20,65,35,148.92,46.33,0.97
164,20,65,40,-28.67,43.76,-1.13
165,20,70,30,-43.39,42.67,-1.08
166,20,70,35,148.92,46.33,0.97
167,20,70,40,-28.67,43.76,-1.13
168,21,55,30,-43.39,42.67,-1.08
169,21,55,35,148.92,46.33,0.97
170,21,55,40,-28.67,43.76,-1.13
171,21,60,30,-43.39,42.67,-1.08
172,21,60,35,148.92,46.33,0.97
173,21,60,40,-28.67,43.76,-1.13
174,21,65,30,-43.39,42.67,-1.08
175,21,65,35,148.92,46.33,0.97
176,21,65,40,-28.67,43.76,-1.13
177,21,70,30,-43.39,42.67,-1.08
178,21,70,35,148.92,46.33,0.97
179,21,70,40,-28.67,43.76,-1.13
180,22,55,30,-43.39,42.67,-1.08
181,22,55,35,42.86,45.34,0.90
182,22,55,40,-28.67,43.76,-1.13
183,22,60,30,-43.39,42.67,-1.08
184,22,60,35,42.86,45.34,0.90
185,22,60,40,-28.67,43.76,-1.13
186,22,65,30,-43.39,42.67,-1.08
187,22,65,35,42.86,45.34,0.90
188,22,65,40,-28.67,43.76,-1.13
189,22,70,30,-43.39,42.67,-1.08
190,22,70,35,42.86,45.34,0.90
191,22,70,40,-28.67,43.76,-1.13
192,23,55,30,-43.39,42.67,-1.08
193,23,55,35,33.49,45.19,0.87
194,23,55,40,-17.38,44.29,-1.22
195,23,60,30,-43.39,42.67,-1.08
196,23,60,35,33.49,45.19,0.87
197,23,60,40,-17.38,44.29,-1.22
198,23,65,30,-43.39,42.67,-1.08
199,23,65,35,33.49,45.19,0.87
200,23,65,40,-17.38,44.29,-1.22
201,23,70,30,-43.39,42.67,-1.08
202,23,70,35,33.49,45.19,0.87
203,23,70,40,-17.38,44.29,-1.22
204,24,55,30,-43.39,42.67,-1.08
205,24,55,35,25.42,45.05,0.83
206,24,55,40,-19.01,44.22,-1.20
207,24,60,30,-43.39,42.67,-1.08
208,24,60,35,25.42,45.05,0.83
209,24,60,40,-19.01,44.22,-1.20
210,24,65,30,-43.39,42.67,-1.08
211,24,65,35,25.42,45.05,0.83
212,24,65,40,-19.01,44.22,-1.20
213,24,70,30,-13.72,34.40,-1.28
214,24,70,35,91.12,34.40,0.95
215,24,70,40,23.44,34.40,0.82
216,25,55,30,-43.39,42.67,-1.08
217,25,55,35,18.20,44.91,0.77
218,25,55,40,-20.59,44.14,-1.18
219,25,60,30,-43.39,42.67,-1.08
220,25,60,35,18.20,44.91,0.77
221,25,60,40,-20.59,44.14,-1.18
222,25,65,30,-43.39,42.67,-1.08
223,25,65,35,18.20,44.91,0.77
224,25,65,40,-20.59,44.14,-1.18
225,25,70,30,-13.72,34.40,-1.28
226,25,70,35,80.08,34.40,0.94
227,25,70,40,21.01,34.40,0.80
228,26,55,30,-43.39,42.67,-1.08
229,26,55,35,12.43,44.78,0.67
230,26,55,40,-21.85,44.08,-1.17
231,26,60,30,-43.39,42.67,-1.08
232,26,60,35,12.43,44.78,0.67
233,26,60,40,-21.85,44.08,-1.17
234,26,65,30,-43.39,42.67,-1.08
235,26,65,35,12.43,44.78,0.67
236,26,65,40,-21.85,44.08,-1.17
237,26,70,30,-13.72,34.40,-1.28
238,26,70,35,71.38,34.40,0.94
239,26,70,40,19.10,34.41,0.78
240,27,55,30,-35.71,38.91,-1.10
241,27,55,35,22.07,41.05,0.81
242,27,55,40,-12.50,40.35,-1.31
243,27,60,30,-35.71,38.91,-1.10
244,27,60,35,22.07,41.05,0.81
245,27,60,40,-12.50,40.35,-1.31
246,27,65,30,-35.71,38.91,-1.10
247,27,65,35,22.07,41.05,0.81
248,27,65,40,-12.50,40.35,-1.31
249,27,70,30,-13.72,34.40,-1.28
250,27,70,35,63.82,34.41,0.93
251,27,70,40,17.45,34.40,0.76
252,28,55,30,-24.04,33.58,-1.16
253,28,55,35,38.84,35.79,0.89
254,28,55,40,47.46,36.48,0.91
255,28,60,30,-24.04,33.58,-1.16
256,28,60,35,38.84,35.79,0.89
257,28,60,40,47.46,36.48,0.91
258,28,65,30,-24.04,33.58,-1.16
259,28,65,35,38.84,35.79,0.89
260,28,65,40,47.46,36.48,0.91
261,28,70,30,-13.72,34.40,-1.28
262,28,70,35,57.65,34.40,0.92
263,28,70,40,67.41,34.40,0.93
