,fast_period,slow_period,sig_period,return,dd,sharpe
126,7,36,13,-2.76,1.78,-2.49
127,7,36,14,-2.76,1.78,-2.49
128,7,37,7,-2.30,1.71,-23.15
129,7,37,8,-2.24,1.65,-13.79
130,7,37,9,-1.51,1.69,-2.71
131,7,37,10,-1.79,1.69,-3.31
132,7,37,11,-1.79,1.69,-3.31
133,7,37,12,-1.79,1.69,-3.31
134,7,37,13,-2.81,1.81,-2.46
135,7,37,14,-2.81,1.81,-2.46
136,7,38,7,-2.30,1.71,-23.15
137,7,38,8,-2.24,1.65,-13.79
138,7,38,9,-1.79,1.69,-3.31
139,7,38,10,-1.79,1.69,-3.31
140,7,38,11,-1.37,1.49,-4.04
141,7,38,12,-1.37,1.49,-4.04
142,7,38,13,-2.86,1.83,-2.43
143,7,38,14,-2.86,1.83,-2.43
144,7,39,7,-2.36,1.71,-19.10
145,7,39,8,-2.24,1.65,-13.79
146,7,39,9,-1.37,1.49,-4.04
147,7,39,10,-1.37,1.49,-4.04
148,7,39,11,-1.37,1.49,-4.04
149,7,39,12,-2.98,1.89,-2.37
150,7,39,13,-2.98,1.89,-2.37
151,7,39,14,-2.98,1.89,-2.37
152,7,40,7,-2.36,1.71,-19.10
153,7,40,8,-2.24,1.65,-13.79
154,7,40,9,-1.37,1.49,-4.04
155,7,40,10,-1.37,1.49,-4.04
156,7,40,11,-1.37,1.49,-4.04
157,7,40,12,-3.13,1.96,-2.31
158,7,40,13,-3.13,1.96,-2.31
159,7,40,14,-3.13,1.96,-2.31
160,8,21,7,-4.47,2.37,-3.44
161,8,21,8,-4.46,2.37,-3.42
162,8,21,9,-2.63,1.97,-11.01
163,8,21,10,-2.39,1.85,-10.64
164,8,21,11,-0.66,1.67,-3.93
165,8,21,12,-0.66,1.67,-3.93
166,8,21,13,-0.95,1.67,-5.47
167,8,21,14,-1.02,1.71,-5.12
168,8,22,7,-4.46,2.37,-3.42
169,8,22,8,-2.63,1.97,-11.01
170,8,22,9,-2.51,1.91,-9.01
171,8,22,10,-0.66,1.67,-3.93
172,8,22,11,-0.66,1.67,-3.93
173,8,22,12,-0.95,1.67,-5.47
