,pfast,pmid,pslow,return,dd,sharpe
126,3,16,27,-8.58,5.28,-5.10
127,3,16,28,-8.38,5.12,-5.46
128,3,16,29,-7.97,4.40,-6.45
129,3,16,30,-7.97,4.40,-6.45
130,3,16,31,-7.97,4.40,-6.45
131,3,16,32,-3.89,2.85,-3.55
132,3,16,33,-3.89,2.85,-3.55
133,3,16,34,-3.89,2.85,-3.55
134,3,16,35,-3.89,2.85,-3.55
135,3,16,36,-3.89,2.85,-3.55
136,3,16,37,-3.89,2.85,-3.55
137,3,16,38,-3.89,2.85,-3.55
138,3,16,39,-3.89,2.85,-3.55
139,3,16,40,-3.89,2.85,-3.55
140,3,17,21,-8.57,4.38,-5.63
141,3,17,22,-7.67,3.98,-1.95
142,3,17,23,-9.92,5.08,-3.55
143,3,17,24,-7.70,4.39,-7.37
144,3,17,25,-9.27,5.27,-4.06
145,3,17,26,-9.34,5.33,-4.00
146,3,17,27,-9.27,5.27,-4.06
147,3,17,28,-7.90,4.45,-6.67
148,3,17,29,-7.70,4.39,-7.37
149,3,17,30,-7.70,4.39,-7.37
150,3,17,31,-7.70,4.39,-7.37
151,3,17,32,-3.62,2.85,-3.90
152,3,17,33,-3.62,2.85,-3.90
153,3,17,34,-3.62,2.85,-3.90
154,3,17,35,-3.62,2.85,-3.90
155,3,17,36,-3.62,2.85,-3.90
156,3,17,37,-3.62,2.85,-3.90
157,3,17,38,-3.62,2.85,-3.90
158,3,17,39,-3.62,2.85,-3.90
159,3,17,40,-3.62,2.85,-3.90
160,3,18,21,-7.39,3.82,-2.05
161,3,18,22,-9.10,4.65,-3.20
162,3,18,23,-2.62,5.54,-2.57
163,3,18,24,-8.48,5.39,-5.28
164,3,18,25,-3.56,3.28,-2.37
165,3,18,26,-7.97,5.54,-9.21
166,3,18,27,-7.96,4.45,-6.48
167,3,18,28,-7.96,4.45,-6.48
168,3,18,29,-8.77,4.49,-5.25
169,3,18,30,-8.92,4.57,-5.34
170,3,18,31,-9.23,4.73,-5.52
171,3,18,32,-9.47,4.86,-5.66
172,3,18,33,-9.55,4.90,-5.71
173,3,18,34,-9.16,4.72,-8.38
174,3,18,35,-9.16,4.72,-8.38
175,3,18,36,-6.38,3.26,-8.07
176,3,18,37,-6.38,3.26,-8.07
177,3,18,38,-6.38,3.26,-8.07
178,3,18,39,-4.22,2.14,-85.66
179,3,18,40,-5.83,2.96,-34.96
180,3,19,21,1.67,3.89,-1.15
181,3,19,22,-8.82,4.50,-2.91
182,3,19,23,-3.35,5.89,-5.96
183,3,19,24,-3.17,5.38,-5.08
184,3,19,25,-4.01,3.44,-3.02
185,3,19,26,-3.50,3.28,-2.25
186,3,19,27,-7.17,4.05,-4.18
187,3,19,28,-7.17,4.05,-4.18
188,3,19,29,-8.77,4.49,-5.25
189,3,19,30,-8.92,4.57,-5.34
190,3,19,31,-9.23,4.73,-5.52
191,3,19,32,-9.47,4.86,-5.66
192,3,19,33,-9.55,4.90,-5.71
193,3,19,34,-9.16,4.72,-8.38
194,3,19,35,-9.16,4.72,-8.38
195,3,19,36,-6.38,3.26,-8.07
196,3,19,37,-6.38,3.26,-8.07
197,3,19,38,-4.22,2.14,-85.66
198,3,19,39,-4.22,2.14,-85.66
199,3,19,40,-5.03,2.56,-16.88
200,3,20,21,-13.99,7.29,-2.28
201,3,20,22,-2.64,5.12,-3.42
202,3,20,23,-1.56,5.03,-1.84
203,3,20,24,-2.40,5.01,-2.94
204,3,20,25,-4.00,5.47,-3.00
205,3,20,26,-4.11,3.94,-20.95
206,3,20,27,-4.01,3.44,-3.02
207,3,20,28,-7.81,5.46,-9.02
208,3,20,29,-9.47,5.93,-26.06
209,3,20,30,-9.43,5.91,-27.79
210,3,20,31,-10.91,7.14,-16.29
211,3,20,32,-4.93,4.07,-20.77
212,3,20,33,-4.93,4.07,-20.77
213,3,20,34,-3.21,2.99,-5.26
214,3,20,35,-3.21,2.99,-5.26
215,3,20,36,-1.67,2.88,-3.62
216,3,20,37,-1.67,2.88,-3.62
217,3,20,38,-1.67,2.88,-3.62
218,3,20,39,-1.67,2.88,-3.62
219,3,20,40,-1.67,2.88,-3.62
220,4,10,21,-0.53,4.48,-0.67
221,4,10,22,-1.38,4.88,-0.94
222,4,10,23,-11.89,6.19,-3.15
223,4,10,24,-11.35,5.91,-3.61
224,4,10,25,-11.35,5.91,-3.61
225,4,10,26,-11.30,5.89,-3.57
226,4,10,27,-11.35,5.91,-3.61
227,4,10,28,-11.35,5.91,-3.61
228,4,10,29,-11.30,5.89,-3.57
229,4,10,30,-10.55,5.49,-4.42
230,4,10,31,-11.35,5.91,-3.61
231,4,10,32,-6.33,3.74,-2.33
232,4,10,33,-6.33,3.74,-2.33
233,4,10,34,-6.33,3.74,-2.33
234,4,10,35,-6.32,3.74,-2.33
235,4,10,36,-6.32,3.74,-2.33
236,4,10,37,-6.32,3.74,-2.33
237,4,10,38,-6.33,3.74,-2.33
238,4,10,39,-6.33,3.74,-2.34
239,4,10,40,-6.33,3.74,-2.34
240,4,11,21,-3.08,5.33,-4.27
241,4,11,22,-1.86,4.89,-1.12
242,4,11,23,-7.01,4.56,-5.03
243,4,11,24,-10.38,5.89,-4.38
244,4,11,25,-10.43,5.91,-4.44
245,4,11,26,-10.38,5.89,-4.38
246,4,11,27,-9.61,5.49,-5.99
247,4,11,28,-9.65,5.51,-6.13
248,4,11,29,-9.61,5.49,-5.99
249,4,11,30,-9.61,5.49,-5.99
250,4,11,31,-9.57,5.47,-5.86
251,4,11,32,-7.35,4.31,-9.25
252,4,11,33,-7.35,4.31,-9.25
253,4,11,34,-7.35,4.31,-9.25
254,4,11,35,-7.35,4.31,-9.25
255,4,11,36,-7.35,4.31,-9.25
256,4,11,37,-7.35,4.31,-9.25
257,4,11,38,-7.35,4.31,-9.25
258,4,11,39,-7.35,4.31,-9.25
259,4,11,40,-7.35,4.31,-9.25
260,4,12,21,-3.80,5.24,-8.31
261,4,12,22,0.94,2.96,-0.37
262,4,12,23,-1.37,4.51,-0.90
263,4,12,24,-8.83,5.04,-7.71
264,4,12,25,-11.70,6.03,-3.41
265,4,12,26,-10.94,5.63,-4.16
266,4,12,27,-10.90,5.61,-4.10
267,4,12,28,-10.94,5.63,-4.16
268,4,12,29,-10.90,5.61,-4.10
269,4,12,30,-10.90,5.61,-4.10
270,4,12,31,-10.86,5.59,-4.03
271,4,12,32,-8.95,4.57,-5.45
272,4,12,33,-8.95,4.57,-5.45
273,4,12,34,-8.95,4.57,-5.45
274,4,12,35,-8.95,4.57,-5.45
275,4,12,36,-8.95,4.57,-5.45
276,4,12,37,-8.95,4.57,-5.45
277,4,12,38,-8.95,4.57,-5.45
278,4,12,39,-8.95,4.57,-5.45
