,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
105,5,14,3,15,20,25,46.78,6.57,0.73
106,5,14,3,15,20,30,46.39,7.33,0.72
107,5,14,3,15,20,35,49.26,7.82,0.78
108,5,14,3,15,20,40,47.02,8.30,0.68
109,5,14,3,15,20,45,44.50,8.64,0.68
110,5,14,3,20,20,25,56.96,5.92,0.79
111,5,14,3,20,20,30,57.89,6.98,0.81
112,5,14,3,20,20,35,60.59,7.45,0.86
113,5,14,3,20,20,40,56.73,7.86,0.75
114,5,14,3,20,20,45,46.58,8.20,0.72
115,5,14,3,25,20,25,72.10,6.67,0.80
116,5,14,3,25,20,30,72.58,8.43,0.81
117,5,14,3,25,20,35,75.69,9.24,0.85
118,5,14,3,25,20,40,69.69,9.92,0.74
119,5,14,3,25,20,45,57.56,10.51,0.71
120,5,14,4,10,10,25,49.90,6.99,0.77
121,5,14,4,10,10,30,45.75,7.55,0.72
122,5,14,4,10,10,35,46.87,8.03,0.78
123,5,14,4,10,10,40,-4.75,9.90,-5.75
124,5,14,4,10,10,45,58.41,8.84,0.91
125,5,14,4,15,10,25,44.10,5.32,0.77
126,5,14,4,15,10,30,40.14,5.96,0.72
127,5,14,4,15,10,35,41.45,6.43,0.79
128,5,14,4,15,10,40,58.35,6.89,0.89
129,5,14,4,15,10,45,52.34,7.25,0.93
130,5,14,4,20,10,25,59.80,4.76,0.86
131,5,14,4,20,10,30,58.85,5.43,0.85
132,5,14,4,20,10,35,61.54,5.90,0.91
133,5,14,4,20,10,40,69.63,6.33,0.97
134,5,14,4,20,10,45,55.43,6.66,1.02
135,5,14,4,25,10,25,75.68,3.31,1.11
136,5,14,4,25,10,30,74.59,3.31,1.09
137,5,14,4,25,10,35,77.77,4.34,1.16
138,5,14,4,25,10,40,84.47,5.41,1.21
139,5,14,4,25,10,45,67.54,6.32,1.37
140,5,14,4,10,15,25,54.70,7.01,0.81
141,5,14,4,10,15,30,51.56,7.91,0.79
142,5,14,4,10,15,35,53.03,8.41,0.85
143,5,14,4,10,15,40,-4.10,10.26,-2.14
144,5,14,4,10,15,45,54.30,9.22,0.76
145,5,14,4,15,15,25,48.87,5.33,0.81
146,5,14,4,15,15,30,45.73,6.31,0.79
