,period,overbought,oversold,return,dd,sharpe
136,18,60,35,0.00,0.00,
137,18,60,40,-7.45,7.99,-1.53
138,18,65,30,0.00,0.00,
139,18,65,35,0.00,0.00,
140,18,65,40,-7.45,7.99,-1.53
141,18,70,30,0.00,0.00,
142,18,70,35,0.00,0.00,
143,18,70,40,-7.45,7.99,-1.53
144,19,55,30,0.00,0.00,
145,19,55,35,0.00,0.00,
146,19,55,40,-0.93,7.22,-5.34
147,19,60,30,0.00,0.00,
148,19,60,35,0.00,0.00,
149,19,60,40,-5.87,7.22,-1.68
150,19,65,30,0.00,0.00,
151,19,65,35,0.00,0.00,
152,19,65,40,-5.87,7.22,-1.68
153,19,70,30,0.00,0.00,
154,19,70,35,0.00,0.00,
155,19,70,40,-5.87,7.22,-1.68
156,20,55,30,0.00,0.00,
157,20,55,35,0.00,0.00,
158,20,55,40,0.53,6.56,-6.61
159,20,60,30,0.00,0.00,
160,20,60,35,0.00,0.00,
161,20,60,40,-4.50,6.56,-1.89
162,20,65,30,0.00,0.00,
163,20,65,35,0.00,0.00,
164,20,65,40,-4.50,6.56,-1.89
165,20,70,30,0.00,0.00,
166,20,70,35,0.00,0.00,
167,20,70,40,-4.50,6.56,-1.89
168,21,55,30,0.00,0.00,
169,21,55,35,0.00,0.00,
170,21,55,40,-3.42,5.85,-2.17
171,21,60,30,0.00,0.00,
172,21,60,35,0.00,0.00,
173,21,60,40,-3.42,5.85,-2.17
174,21,65,30,0.00,0.00,
175,21,65,35,0.00,0.00,
176,21,65,40,-3.42,5.85,-2.17
177,21,70,30,0.00,0.00,
178,21,70,35,0.00,0.00,
179,21,70,40,-3.42,5.85,-2.17
180,22,55,30,0.00,0.00,
181,22,55,35,0.00,0.00,
182,22,55,40,-2.83,5.07,-2.41
183,22,60,30,0.00,0.00,
184,22,60,35,0.00,0.00,
185,22,60,40,-2.83,5.07,-2.41
186,22,65,30,0.00,0.00,
187,22,65,35,0.00,0.00,
188,22,65,40,-2.83,5.07,-2.41
189,22,70,30,0.00,0.00,
190,22,70,35,0.00,0.00,
191,22,70,40,-2.83,5.07,-2.41
192,23,55,30,0.00,0.00,
193,23,55,35,0.00,0.00,
194,23,55,40,-2.74,4.63,-2.46
195,23,60,30,0.00,0.00,
196,23,60,35,0.00,0.00,
197,23,60,40,-2.74,4.63,-2.46
198,23,65,30,0.00,0.00,
199,23,65,35,0.00,0.00,
200,23,65,40,-2.74,4.63,-2.46
201,23,70,30,0.00,0.00,
202,23,70,35,0.00,0.00,
203,23,70,40,-2.74,4.63,-2.46
204,24,55,30,0.00,0.00,
205,24,55,35,0.00,0.00,
206,24,55,40,-5.63,2.83,-1.71
207,24,60,30,0.00,0.00,
208,24,60,35,0.00,0.00,
209,24,60,40,-5.63,2.83,-1.71
210,24,65,30,0.00,0.00,
